src,Y111,Y112,Y113,Y114,Y121,Y122,Y123,Y211,Y212,Y213,Y214,Y221,Y222,Y223,Y224,Y231,Y232,Y233,Y234,Y311,Y312,Y313,Y314,Y321,Y322,Y323,Y324,Y331,Y332,Y333,Y334,Y411,Y412,Y413,Y414,Y421,Y422,Y423,Y511,Y512,Y513,Y514,Y521,Y522,Y523,Y524,Y531,Y532,Y533,Y534,Y611,Y612,Y613,Y621,Y622,Y623,Y624,Y711,Y712,Y713,Y714,Y721,Y722,Y723,Y724,Y731,Y732,Y733,Y734,Y811,Y812,Y813,Y814,Y821,Y822,Y823,Y911,Y912,Y913,Y921,Y922,Y923,Y924,label
7424,0,0,0,0,0,75,0,0,0,0,0,0,13,0,0,0,29,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7425,0,0,0,0,45,0,0,9,0,0,0,110,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7426,0,0,0,0,0,45,0,0,0,0,0,0,60,50,0,0,11,1,0,0,60,50,0,0,0,0,0,0,0,0,0,0,30,1,0,10,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7427,0,0,0,0,45,0,10,10,0,0,0,100,0,10,0,0,8,1,0,100,0,10,0,0,0,0,0,0,0,0,0,10,2,9,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7428,0,0,0,0,0,45,0,0,0,0,0,0,110,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7429,0,0,0,0,0,55,0,0,0,0,0,0,99,0,0,0,23,1,0,0,110,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1
7430,0,0,0,0,36,1,7,7,0,0,0,72,4,15,18,2,20,2,0,72,4,15,18,0,0,0,0,0,0,0,0,9,20,4,0,28,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7431,0,0,0,0,55,0,0,9,0,0,0,99,0,0,11,5,0,0,7,99,0,0,11,0,0,0,0,0,0,0,0,19,0,0,0,36,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7432,0,0,0,0,0,45,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7433,0,0,0,0,0,55,0,0,0,0,0,0,142,0,0,0,10,1,0,0,142,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
